log_exp,wrk_type,hhsize,region
5.01094764358482,Inactive,1,West Midlands
5.52811093756173,Inactive,1,West Midlands
5.72872405983899,FT,1,West Midlands
6.39575169525485,FT,3,London
5.65593472211236,Inactive,2,West Midlands
6.40554185723101,FT,5,South East
5.05286430611548,Inactive,1,London
6.0445208928825,FT,1,London
7.06902342657826,FT,4,London
7.06902342657826,FT,3,South East
6.86718387867088,FT,3,West Midlands
7.0049183221404,Inactive,2,South East
6.09557509823075,FT,1,South East
6.99893986147957,FT,3,London
5.20459707820207,Inactive,1,West Midlands
6.59013670927311,PT,3,London
7.06902342657826,FT,3,South East
5.38368875177076,FT,1,London
7.06902342657826,PT,4,West Midlands
6.86360202531988,FT,4,South East
7.06902342657826,FT,5,London
5.72007311067379,FT,3,West Midlands
6.21052905066088,FT,1,London
7.06902342657826,FT,2,South East
4.99825901478884,Inactive,1,South East
6.7185979111789,FT,2,West Midlands
5.19289505088493,Inactive,1,London
5.03701264493683,Inactive,1,London
6.6257440273276,FT,4,West Midlands
4.97054217088156,Inactive,2,South East
6.04649327626046,Inactive,2,South East
6.18589014800998,FT,3,South East
6.60038820903427,Unemployed,2,London
5.47058020025697,FT,4,London
5.1198184502001,Inactive,2,West Midlands
6.9302430164509,FT,3,South East
5.47060961305676,Inactive,2,West Midlands
4.69597018523273,PT,1,South East
6.49425556884243,Inactive,3,South East
7.06902342657826,Inactive,1,West Midlands
6.04101075271724,FT,1,West Midlands
6.21453131324772,PT,3,South East
7.06902342657826,FT,2,South East
4.60494295680436,Inactive,1,West Midlands
5.34286583199437,FT,3,South East
5.63626948207796,FT,1,London
6.82904222789828,FT,2,South East
6.16299171525169,FT,4,South East
5.90115889830715,FT,3,South East
5.94529078063884,FT,3,West Midlands
7.00227413014352,Inactive,2,South East
6.60038820903427,Unemployed,2,London
5.84016515027317,FT,2,West Midlands
5.0841731734743,Inactive,1,London
4.13995506132544,Inactive,1,West Midlands
6.26578392375232,FT,4,London
6.72912932642919,FT,4,South East
6.12146157354194,PT,2,London
6.58360497136288,FT,2,South East
6.18589014800998,FT,3,South East
5.83289647112829,FT,1,West Midlands
6.99398023435589,Inactive,4,West Midlands
5.68534884393847,PT,2,West Midlands
4.8734615572463,PT,2,London
6.9675844328434,FT,4,West Midlands
5.85166705112229,FT,2,London
6.46994010729974,FT,3,London
5.47058020025697,FT,4,London
5.90186275957271,PT,3,South East
4.13995506132544,Inactive,1,West Midlands
6.55253766408545,Unemployed,1,London
5.75754633731511,Inactive,2,South East
5.93873139312076,FT,2,West Midlands
6.51797919609545,FT,3,West Midlands
5.42565738517823,FT,2,South East
5.7385619333663,Inactive,2,West Midlands
4.40078704490402,Inactive,1,West Midlands
5.22432092992204,Inactive,1,South East
7.06902342657826,FT,4,London
5.71367740903122,FT,2,London
4.13995506132544,Inactive,1,West Midlands
5.78214916170449,FT,2,South East
6.32634762670313,FT,5,London
6.37981669365673,Inactive,2,London
5.74946684738226,FT,1,South East
7.06902342657826,FT,3,South East
4.69875157737662,Inactive,5,West Midlands
5.23915264562143,Inactive,2,London
5.66845484094332,PT,1,South East
7.06902342657826,FT,4,London
5.34443731381842,Unemployed,1,West Midlands
6.0424939364364,FT,4,London
7.06902342657826,Inactive,2,London
5.00635940115876,Inactive,1,London
5.91020307055821,FT,3,London
5.46746976723911,Inactive,1,West Midlands
5.50035984296725,PT,3,South East
4.23040404658239,Inactive,1,South East
6.89022445638941,FT,3,London
7.06902342657826,FT,4,South East
5.97844265967369,Inactive,2,West Midlands
5.43648216385751,FT,2,West Midlands
5.32218290857511,FT,1,West Midlands
6.62490323861733,FT,3,London
5.25876922552852,Inactive,1,West Midlands
6.22339107022975,FT,4,West Midlands
6.20482141201546,Inactive,2,South East
5.77927476825887,Inactive,2,South East
6.43322452321421,FT,3,West Midlands
5.19865913222271,Inactive,2,London
6.40200363415793,FT,4,South East
5.86372983267424,Inactive,1,West Midlands
6.1125519859124,FT,2,West Midlands
6.37159922278652,FT,2,London
6.03673806905697,Inactive,2,South East
7.06902342657826,FT,4,West Midlands
6.24745513514523,FT,2,London
5.13571810078686,FT,1,South East
5.52017249053987,Inactive,1,South East
6.4600149610661,FT,2,South East
6.6774110295504,FT,3,South East
6.32634762670313,FT,5,London
6.20482141201546,Inactive,2,South East
5.86420884865096,Inactive,2,South East
6.06256198344977,FT,4,West Midlands
5.46746976723911,Inactive,1,West Midlands
6.89860557663709,Inactive,2,South East
4.32066289848446,PT,1,London
7.05600700233003,FT,4,London
6.47114553025118,Inactive,2,London
4.9615857884394,Inactive,1,West Midlands
5.81007066048091,Inactive,2,West Midlands
5.57210425131509,Inactive,2,London
5.83150115860014,FT,3,West Midlands
5.45863057237825,FT,2,South East
4.85171484600511,Inactive,1,South East
7.06902342657826,FT,3,West Midlands
5.73943890449601,Inactive,2,West Midlands
6.99521523495129,FT,4,South East
6.7510360770875,FT,2,London
6.10822370265819,FT,4,West Midlands
6.52568919275392,FT,4,South East
7.06902342657826,FT,3,South East
6.52945732976594,Inactive,2,South East
7.06902342657826,FT,3,West Midlands
5.97474551209105,FT,2,South East
6.52716593170693,FT,3,West Midlands
7.06902342657826,FT,5,London
5.52811093756173,Inactive,1,West Midlands
6.05709371511053,PT,4,West Midlands
6.18589014800998,FT,3,South East
6.21237373152398,FT,3,London
7.06677053750362,FT,2,South East
4.05534385660367,Inactive,2,London
5.96797838457982,FT,3,South East
6.43322452321421,FT,3,West Midlands
6.48489769895234,Inactive,2,South East
4.94312110438536,Inactive,1,London
7.06902342657826,Inactive,2,South East
5.30552119966214,Inactive,2,West Midlands
6.48821331423597,FT,3,London
6.18578819671039,Inactive,2,South East
5.89090991867219,FT,2,West Midlands
3.96460975158144,Unemployed,1,West Midlands
5.23742550855723,Unemployed,3,West Midlands
5.25244253864948,Inactive,4,London
6.82904222789828,FT,2,South East
7.06902342657826,FT,3,South East
6.55288282161368,FT,2,West Midlands
6.9675844328434,FT,4,West Midlands
5.97844265967369,Inactive,2,West Midlands
4.90149737579248,Inactive,1,South East
5.30552119966214,Inactive,2,West Midlands
6.52568919275392,FT,4,South East
6.12088258156551,FT,3,South East
7.06902342657826,FT,4,South East
6.3792933564927,FT,3,West Midlands
6.13217725700207,Inactive,2,London
4.88455052974809,Unemployed,2,South East
6.43379431809955,FT,3,West Midlands
5.93416433316145,Inactive,3,London
6.75452847848064,FT,3,London
6.06109555112669,Inactive,2,London
6.38772051079808,FT,3,London
6.04101075271724,FT,1,West Midlands
6.3441430975142,FT,4,South East
5.87300807650849,FT,3,West Midlands
5.7186812095138,FT,1,London
5.88013165939869,Inactive,4,West Midlands
5.65326648739365,FT,3,West Midlands
5.85454345248079,Unemployed,2,London
5.85166705112229,FT,2,London
6.5210159353871,FT,5,London
7.0049183221404,Inactive,2,South East
7.06902342657826,FT,4,West Midlands
6.47024445894917,PT,2,South East
5.70786197177077,Inactive,1,South East
5.3191733424948,Inactive,1,West Midlands
5.68275316756153,FT,1,London
6.14454523156373,FT,2,London
6.55288282161368,FT,2,West Midlands
6.58372616641033,FT,1,London
5.60309153181331,Inactive,5,West Midlands
5.77184128917099,FT,4,London
6.50646798559507,FT,2,London
6.18424264157658,FT,3,West Midlands
5.1198184502001,Inactive,2,West Midlands
5.57084137931213,Inactive,5,West Midlands
4.4726097399506,Inactive,1,London
6.44515455160993,PT,1,South East
6.61478139754326,Inactive,2,London
6.08545167799669,PT,3,South East
5.80393257072655,FT,1,South East
4.89102556358243,Inactive,1,West Midlands
5.57761600736006,Inactive,2,South East
6.1286866590174,FT,3,South East
5.96177820530051,PT,2,West Midlands
6.14784620899465,FT,2,South East
6.19877100983895,FT,4,South East
5.81025732892487,FT,2,West Midlands
6.14559042019619,Inactive,5,West Midlands
6.58855104505437,PT,5,West Midlands
6.10386453560173,Inactive,2,London
6.88958074213107,FT,3,London
6.20112243261277,Inactive,2,West Midlands
6.93229722759369,FT,2,South East
5.29046549994985,Inactive,2,London
4.78744990739361,Unemployed,2,West Midlands
4.54225071480963,Inactive,1,South East
4.91999117255368,Inactive,2,West Midlands
6.56433095398254,FT,1,South East
5.53321161453357,PT,4,London
6.47924095280677,FT,2,West Midlands
5.70786197177077,Inactive,1,South East
4.4266692631627,Inactive,1,London
6.43379431809955,FT,3,West Midlands
6.21760342484418,FT,3,South East
6.61841134463167,FT,1,London
7.01983981733329,FT,2,London
5.30186947623333,FT,1,South East
