"","x"
"1",163
"2",174
"3",151
"4",164
"5",167
"6",182
"7",169
"8",167
"9",153
"10",187
"11",171
"12",151
"13",166
"14",184
"15",161
"16",184
"17",169
"18",161
"19",187
"20",170
"21",174
"22",180
"23",173
"24",167
"25",172
"26",170
"27",154
"28",162
"29",187
"30",179
"31",183
"32",160
"33",175
"34",176
"35",186
"36",176
"37",157
"38",152
"39",169
"40",154
"41",180
"42",182
"43",156
"44",174
"45",150
"46",185
"47",164
"48",172
"49",177
"50",162
"51",176
"52",154
"53",182
"54",171
"55",156
"56",152
"57",152
"58",181
"59",181
"60",188
"61",155
"62",182
"63",187
"64",184
"65",174
"66",161
"67",182
"68",165
"69",186
"70",185
"71",178
"72",150
"73",174
"74",185
"75",154
"76",151
"77",152
"78",169
"79",163
"80",174
"81",182
"82",178
"83",174
"84",159
"85",183
"86",151
"87",184
"88",174
"89",162
"90",150
"91",152
"92",163
"93",158
"94",176
"95",167
"96",154
"97",154
"98",176
"99",167
"100",177
